study_id,source,sheet,field,run1,run2,type,key,row,fields,check,status,detail,issue,field_or_row,explanation,suggested_fix,reviewer_decision,corrected_value
alajlouni-2020,consensus,or,,,,only_in_run2,"['mortality', 'annual decline in grip strength', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Annual decline in grip strength', 'Analysis': 'Multivariable', 'Effect': 1.15, 'CI_Lower': 1.01, 'CI_Upper': 1.33, 'P_Value': None, 'Covariates': 'Age, index value of muscle strength', 'Notes': 'HR, per 1-SD decline'}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run2,"['mortality', 'annual decline in gait speed', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Annual decline in gait speed', 'Analysis': 'Multivariable', 'Effect': 1.38, 'CI_Lower': 1.13, 'CI_Upper': 1.68, 'P_Value': None, 'Covariates': 'Age, index value of physical performance', 'Notes': 'HR, per 1-SD decline'}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run2,"['mortality', 'annual increase in chair stands time', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Annual increase in chair stands time', 'Analysis': 'Multivariable', 'Effect': 1.28, 'CI_Lower': 1.07, 'CI_Upper': 1.54, 'P_Value': None, 'Covariates': 'Age, index value of physical performance', 'Notes': 'HR, per 1-SD increase'}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run2,"['mortality', 'index chair stands time', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Index chair stands time', 'Analysis': 'Multivariable', 'Effect': 0.84, 'CI_Lower': 0.66, 'CI_Upper': 1.06, 'P_Value': None, 'Covariates': 'Age, annual rate of increase', 'Notes': 'HR'}",,,,,,,,,,
anand-2020,consensus,study,Population,"Cases: Patients ≥50 years with acute back pain, history of trivial trauma, and vertebral fracture. Controls: Age and sex-matched patients with backache but no fresh vertebral fractures.","Patients >=50 years of age with acute back pain and vertebral fracture, matched with controls without vertebral fracture.",,,,,,,,,,,,,
anand-2020,consensus,study,First_Author,,Ganga,,,,,,,,,,,,,
anand-2020,consensus,study,Quality_Notes,"Physical performance measurements were excluded due to acute fracture and back pain in patients, potentially affecting the full EWGSOP diagnosis.",,,,,,,,,,,,,,
anand-2020,consensus,study,Year,,2019,,,,,,,,,,,,,
anand-2020,consensus,study,Sarcopenia_Definition,"Diagnosed according to EWGSOP criteria: decreased muscle mass with decreased muscle strength. Muscle mass was assessed using Total Psoas Area (TPA) or Psoas Lumbar Vertebral Index (PLVI) on MRI, defined as 2 standard deviations below the mean of a young adult reference population. Muscle strength was measured using a hydraulic handheld dynamometer (grip strength of dominant hand, average of three measurements), with AWGS cut-off values (26 kg for males, 18 kg for females). Physical performance was excluded due to acute fracture and back pain.",EWGSOP criteria: decreased muscle mass (TPA/PLVI) with decreased muscle strength (handheld dynamometer). Cutoffs: 2 SD below the mean of a young reference population (20-40 years).,,,,,,,,,,,,,
anand-2020,consensus,study,Time_Period,Patient recruitment between September 2017 and April 2018. Reference population MRI data from January 2012 to December 2017.,September 2017 to April 2018,,,,,,,,,,,,,
anand-2020,consensus,study,Journal,,Asian Spine Journal,,,,,,,,,,,,,
anand-2020,consensus,study,Fracture_Type,Vertebral fracture on radiographs. No specific grading method stated.,Presence of vertebral fracture on radiographs and MRI.,,,,,,,,,,,,,
anand-2020,consensus,groups,,,,field_mismatch,['study group'],,"[{'field': 'Age_Notes', 'run1': None, 'run2': 'Patients >=50 years'}]",,,,,,,,,
anand-2020,consensus,groups,,,,field_mismatch,['control group'],,"[{'field': 'Age_Notes', 'run1': None, 'run2': 'Age and sex-matched to study group (within 1 year)'}]",,,,,,,,,
anand-2020,consensus,groups,,,,field_mismatch,['total'],,"[{'field': 'Age_Notes', 'run1': None, 'run2': 'Study group (n=51) and Control group (n=51) combined'}]",,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'tpa', 'women']","{'Modality': 'CT', 'Metric': 'TPA', 'Unit': 'mm2', 'Group': 'Women', 'N': 135, 'Value': 1576, 'SD': 25.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_se', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'tpa', 'men']","{'Modality': 'CT', 'Metric': 'TPA', 'Unit': 'mm2', 'Group': 'Men', 'N': 114, 'Value': 2723, 'SD': 50.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_se', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'plvi', 'women']","{'Modality': 'CT', 'Metric': 'PLVI', 'Unit': None, 'Group': 'Women', 'N': 135, 'Value': 1.51, 'SD': 0.026, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_se', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'plvi', 'men']","{'Modality': 'CT', 'Metric': 'PLVI', 'Unit': None, 'Group': 'Men', 'N': 114, 'Value': 2.05, 'SD': 0.04, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_se', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body mass index', 'women, cases']","{'Modality': 'Anthropometry', 'Metric': 'Body mass index', 'Unit': 'kg/m2', 'Group': 'Women, Cases', 'N': None, 'Value': 25.18, 'SD': 4.4, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body mass index', 'women, controls']","{'Modality': 'Anthropometry', 'Metric': 'Body mass index', 'Unit': 'kg/m2', 'Group': 'Women, Controls', 'N': None, 'Value': 28.5, 'SD': 5.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body mass index', 'men, cases']","{'Modality': 'Anthropometry', 'Metric': 'Body mass index', 'Unit': 'kg/m2', 'Group': 'Men, Cases', 'N': None, 'Value': 24.87, 'SD': 4.1, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body mass index', 'men, controls']","{'Modality': 'Anthropometry', 'Metric': 'Body mass index', 'Unit': 'kg/m2', 'Group': 'Men, Controls', 'N': None, 'Value': 27.15, 'SD': 5.89, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'total psoas cross-sectional area', 'women, cases']","{'Modality': 'CT', 'Metric': 'Total psoas cross-sectional area', 'Unit': 'mm2', 'Group': 'Women, Cases', 'N': None, 'Value': 1103, 'SD': 297, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'total psoas cross-sectional area', 'women, controls']","{'Modality': 'CT', 'Metric': 'Total psoas cross-sectional area', 'Unit': 'mm2', 'Group': 'Women, Controls', 'N': None, 'Value': 1379, 'SD': 323, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'total psoas cross-sectional area', 'men, cases']","{'Modality': 'CT', 'Metric': 'Total psoas cross-sectional area', 'Unit': 'mm2', 'Group': 'Men, Cases', 'N': None, 'Value': 1699, 'SD': 354, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'total psoas cross-sectional area', 'men, controls']","{'Modality': 'CT', 'Metric': 'Total psoas cross-sectional area', 'Unit': 'mm2', 'Group': 'Men, Controls', 'N': None, 'Value': 2025, 'SD': 408, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'handgrip strength', 'women, cases']","{'Modality': 'Dynamometer', 'Metric': 'Handgrip strength', 'Unit': 'kg', 'Group': 'Women, Cases', 'N': None, 'Value': 14.3, 'SD': 5.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'handgrip strength', 'women, controls']","{'Modality': 'Dynamometer', 'Metric': 'Handgrip strength', 'Unit': 'kg', 'Group': 'Women, Controls', 'N': None, 'Value': 15.8, 'SD': 4.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'handgrip strength', 'men, cases']","{'Modality': 'Dynamometer', 'Metric': 'Handgrip strength', 'Unit': 'kg', 'Group': 'Men, Cases', 'N': None, 'Value': 23.02, 'SD': 9.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'handgrip strength', 'men, controls']","{'Modality': 'Dynamometer', 'Metric': 'Handgrip strength', 'Unit': 'kg', 'Group': 'Men, Controls', 'N': None, 'Value': 30.22, 'SD': 5.8, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'psoas lumbar vertebral index', 'women, cases']","{'Modality': 'CT', 'Metric': 'Psoas lumbar vertebral index', 'Unit': None, 'Group': 'Women, Cases', 'N': None, 'Value': 0.83, 'SD': 0.26, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'psoas lumbar vertebral index', 'women, controls']","{'Modality': 'CT', 'Metric': 'Psoas lumbar vertebral index', 'Unit': None, 'Group': 'Women, Controls', 'N': None, 'Value': 0.992, 'SD': 0.28, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'psoas lumbar vertebral index', 'men, cases']","{'Modality': 'CT', 'Metric': 'Psoas lumbar vertebral index', 'Unit': None, 'Group': 'Men, Cases', 'N': None, 'Value': 1.11, 'SD': 0.26, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run1,"['ct', 'psoas lumbar vertebral index', 'men, controls']","{'Modality': 'CT', 'Metric': 'Psoas lumbar vertebral index', 'Unit': None, 'Group': 'Men, Controls', 'N': None, 'Value': 1.32, 'SD': 0.28, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run2,"['ct_l3', 'tpa', 'women']","{'Modality': 'CT_L3', 'Metric': 'TPA', 'Unit': 'mm2', 'Group': 'Women', 'N': 135, 'Value': 1576, 'SD': 295, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Total psoas area'}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run2,"['ct_l3', 'tpa', 'women']","{'Modality': 'CT_L3', 'Metric': 'TPA', 'Unit': 'mm2', 'Group': 'Women', 'N': 135, 'Value': 1576, 'SD': 25.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_se', 'Notes': 'Total psoas area'}",,,,,,,,,,
anand-2020,consensus,muscle,,,,only_in_run2,"['ct_l3', 'tpa', 'men']","{'Modality': 'CT_L3', 'Metric': 'TPA', 'Unit': 'mm2', 'Group': 'Men', 'N': 114, 'Value': 2723, 'SD': 541, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Total psoas area'}",,,,,,,,,,
